rna0;XM_005088767.1
rna13866;XM_013083776.1
rna13867;XM_013083772.1
rna13868;XM_005100631.2
rna13869;XM_005100632.2
rna13870;XM_013083785.1
rna13871;XM_013083784.1
rna13872;XM_013083786.1
rna13873;XM_005100633.1
rna13874;XM_005100634.1
rna13875;XM_005100635.2
rna13876;XM_005100636.2
rna13877;XM_005100638.2
rna13878;XM_005100639.2
rna13879;XM_005100637.2
rna13880;XM_013083787.1
rna13881;XM_013083777.1
rna13882;XM_013083789.1
rna13883;XM_013083788.1
rna13884;XM_005100655.2
rna13885;XM_005100641.2
rna13886;XM_013083790.1
rna13888;XM_005100656.2
rna13889;XM_005100643.2
rna13890;XM_005100645.2
rna13891;XM_005100646.2
rna13892;XM_005100647.2
rna13893;XM_013083773.1
rna13894;XM_013083808.1
rna13895;XM_005100667.1
rna13896;XM_013083800.1
rna13897;XM_013083801.1
rna13898;XM_013083803.1
rna13899;XM_013083804.1
rna13900;XM_013083809.1
rna13901;XM_005100670.2
rna13902;XM_013083791.1
rna13903;XM_013083792.1
rna13904;XM_013083811.1
rna13906;XM_013083793.1
rna13907;XM_013083812.1
rna13908;XM_005100660.2
rna13909;XM_013083795.1
rna13910;XM_013083813.1
rna13911;XM_013083807.1
rna13912;XM_005100661.2
rna13913;XM_005100663.2
rna13916;XM_005100662.2
rna13917;XM_005100674.2
rna13919;XM_013083796.1
rna13920;XM_013083797.1
rna13921;XM_013083805.1
rna13922;XM_013083798.1
rna13923;XM_013083799.1
rna13924;XM_013083806.1
rna13925;XM_005100665.2
rna13926;XM_013083814.1
rna13927;XM_013083815.1
rna13928;XM_013083816.1
rna13930;XM_013083817.1
rna13931;XM_013083820.1
rna13934;XM_005100678.2
rna13935;XM_013083821.1
rna13936;XM_005100680.2
rna13937;XM_005100681.2
rna13938;XM_013083822.1
rna13939;XM_013083818.1
rna13940;XM_013083819.1
rna13941;XM_005100682.2
rna13943;XM_013083826.1
rna13944;XM_013083825.1
rna13945;XM_013083824.1
rna13946;XM_013083823.1
rna13947;XM_005100683.2
rna13948;XM_005100684.2
rna13949;XM_005100685.2
rna13950;XM_005100686.2
rna13951;XM_013083828.1
rna13952;XM_013083827.1
rna13953;XM_005100687.2
rna13954;XM_005100688.2
rna13955;XM_013083829.1
rna13956;XM_005100689.2
rna13957;XM_005100690.2
rna13958;XM_005100691.2
rna13959;XM_005100692.2
rna13960;XM_005100693.2
rna13961;XM_005100694.2
rna13962;XM_013083830.1
rna13963;XM_013083832.1
rna13964;XM_005100695.2
rna13965;XM_013083837.1
rna13966;XM_005100702.2
rna13967;XM_013083835.1
rna13968;XM_013083838.1
rna13969;XM_005100710.2
rna13970;XM_005100709.2
rna13971;XM_013083839.1
rna13972;XM_013083840.1
rna13973;XM_013083833.1
rna13974;XM_005100715.1
rna13975;XM_013083834.1
rna13976;XM_013083841.1
rna13978;XM_013083842.1
rna13979;XM_005100712.2
rna13980;XM_013083843.1
rna13981;XM_013083844.1
rna13982;XM_013083846.1
rna13983;XM_013083847.1
rna13984;XM_013083848.1
rna13985;XM_013083851.1
rna13986;XM_013083849.1
rna13987;XM_005100743.1
rna13988;XM_013083852.1
rna13989;XM_005100723.2
rna13990;XM_005100727.2
rna13991;XM_005100725.2
rna13992;XM_005100726.2
rna13993;XM_005100724.2
rna13994;XM_005100728.2
rna13995;XM_005100729.2
rna13996;XM_013083853.1
rna13997;XM_005100730.2
rna13998;XM_005100731.2
rna13999;XM_013083858.1
rna14000;XM_013083857.1
rna14001;XM_005100734.2
rna14002;XM_005100733.2
rna14003;XM_013083856.1
rna14004;XM_013083854.1
rna14005;XM_005100736.2
rna14006;XM_013083850.1
rna14007;XM_005100737.1
rna14008;XM_005100738.2
rna14009;XM_005100739.2
rna14010;XM_013083859.1
rna14011;XM_005100748.2
rna14012;XM_005100740.2
rna14013;XM_005100741.2
rna14014;XM_005100742.2
rna14016;XM_013083865.1
rna14017;XM_013083866.1
rna14018;XM_013083861.1
rna14019;XM_013083867.1
rna14020;XM_005100750.2
rna14021;XM_005100751.2
rna14022;XM_005100753.2
rna14023;XM_005100752.2
rna14024;XM_005100754.2
rna14025;XM_005100755.2
rna14026;XM_005100758.2
rna14027;XM_013083869.1
rna14028;XM_013083868.1
rna14029;XM_005100766.2
rna14030;XM_013083862.1
rna14031;XM_013083870.1
rna14032;XM_013083871.1
rna14033;XM_013083872.1
rna14035;XM_005100768.2
rna14036;XM_013083873.1
rna14037;XM_013083874.1
rna14038;XM_013083863.1
rna14039;XM_005100759.2
rna14040;XM_005100760.2
rna14042;XM_005100761.2
rna14043;NM_001204536.1
rna14044;XM_013083878.1
rna14045;XM_013083876.1
rna14046;XM_013083875.1
rna14047;XM_013083879.1
rna14048;XM_013083877.1
rna14049;XM_013083880.1
rna14050;XM_013083881.1
rna14052;XM_005100774.2
rna14053;XM_005100775.1
rna14055;XM_005100776.2
rna14056;XM_005100777.2
rna14057;XM_013083888.1
rna14058;XM_005100778.2
rna14059;XM_013083889.1
rna14060;XM_005100779.2
rna14061;XM_005100781.2
rna14062;XM_013083882.1
rna14063;XM_013083883.1
rna14064;XM_013083884.1
rna14065;XM_005100782.2
rna14066;XM_013083892.1
rna14067;XM_013083890.1
rna14068;XM_013083891.1
rna14069;XM_005100784.2
rna14070;XM_013083895.1
rna14071;XM_013083894.1
rna14072;XM_013083893.1
rna14073;XM_005100786.2
rna14074;XM_013083886.1
rna14075;XM_013083896.1
rna14076;XM_005100789.2
rna14077;XM_005100787.2
rna14078;XM_005100788.2
rna14079;XM_013083897.1
rna14080;XM_005100797.1
rna14081;XM_005100790.2
rna14082;NM_001204708.1
rna14083;XM_005100791.2
rna14084;XM_013083902.1
rna14085;XM_013083898.1
rna14086;XM_005100799.2
rna14087;XM_005100798.2
rna14088;XM_013083903.1
rna14089;XM_013083904.1
rna14090;XM_005100802.2
rna14091;XM_005100801.2
rna14092;XM_005100800.2
rna14093;XM_005100804.2
rna14094;XM_013083905.1
rna14095;XM_005100805.2
rna14096;XM_005100811.2
rna14097;XM_013083906.1
rna14098;XM_005100810.2
rna14099;XM_005100809.2
rna14100;XM_005100808.2
rna14101;XM_005100807.2
rna14103;XM_005100806.2
rna14104;XM_005100812.2
rna14105;XM_005100813.2
rna14106;XM_005100814.2
rna14107;XM_013083899.1
rna14108;XM_005100816.2
rna14109;XM_005100815.2
rna14110;XM_013083907.1
rna14111;XM_005100818.2
rna14112;XM_013083900.1
rna14113;XM_013083901.1
rna14114;XM_013083908.1
rna14115;XM_013083909.1
rna14116;XM_005100820.2
rna14117;XM_013083910.1
rna14118;XM_005100829.2
rna14119;XM_005100830.1
rna14120;XM_005100831.2
rna14121;XM_005100832.2
rna14122;XM_005100836.2
rna14123;XM_005100840.2
rna14124;XM_005100839.2
rna14125;XM_005100838.2
rna14126;XM_005100837.2
rna14127;XM_013083915.1
rna14129;XM_013083911.1
rna14130;XM_013083916.1
rna14131;XM_013083917.1
rna14132;XM_013083922.1
rna14133;XM_013083919.1
rna14134;XM_013083923.1
rna14135;XM_013083920.1
rna14136;XM_013083924.1
rna14137;XM_013083921.1
rna14138;XM_013083925.1
rna14139;XM_013083918.1
rna14140;XM_013083912.1
rna14141;XM_005100842.2
rna14142;XM_005100841.2
rna14143;XM_005100843.2
rna14144;XM_013083926.1
rna14145;XM_005100844.2
rna14146;XM_005100846.2
rna14147;XM_005100847.1
rna14148;XM_005100848.1
rna14150;XM_005100852.1
rna14151;NM_001204576.1
rna14152;XM_013083928.1
rna14153;XM_013083927.1
rna14154;XM_013083913.1
rna14155;XM_005100854.2
rna14156;XM_005100855.2
rna14159;XM_005100869.1
rna14160;XM_005100856.2
rna14161;XM_005100857.2
rna14162;XM_005100858.2
rna14163;XM_013083937.1
rna14164;XM_005100859.2
rna14165;XM_013083929.1
rna14166;XM_013083933.1
rna14167;XM_013083930.1
rna14168;XM_013083932.1
rna14169;XM_013083931.1
rna14170;NM_001204668.1
rna14171;NM_001204712.1
rna14172;XM_013083934.1
rna14174;XM_013083938.1
rna14175;XM_005100861.2
rna14176;XM_005100860.2
rna14177;XM_005100862.2
rna14178;XM_013083940.1
rna14179;XM_005100864.2
rna14180;XM_005100863.2
rna14181;XM_005100866.2
rna14182;XM_005100865.2
rna14183;XM_013083935.1
rna14184;XM_013083942.1
rna14185;XM_005100872.2
rna14186;XM_013083941.1
rna14187;XM_013083943.1
rna14188;XM_013083936.1
rna14189;XM_005100875.2
rna14190;XM_005100868.2
rna14191;XM_013083948.1
rna14192;XM_013083947.1
rna14193;XM_005100877.2
rna14194;XM_005100878.2
rna14195;XM_005100879.1
rna14196;XM_005100876.2
rna14197;XM_005100880.2
rna14198;XM_005100884.2
rna14199;XM_005100885.2
rna14200;XM_005100883.2
rna14201;XM_005100882.1
rna14202;XM_005100881.1
rna14203;XM_005100886.2
rna14204;XM_005100887.2
rna14205;XM_013083950.1
rna14206;XM_013083951.1
rna14207;XM_005100888.2
rna14208;XM_013083952.1
rna14209;XM_013083953.1
rna14210;XM_005100890.2
rna14211;XM_005100891.2
rna14212;XM_005100892.2
rna14213;XM_005100893.2
rna14214;XM_005100895.2
rna14215;XM_005100912.1
rna14216;XM_005100896.2
rna14217;XM_013083944.1
rna14218;XM_005100897.2
rna14219;XM_005100914.2
rna14220;XM_005100898.2
rna14221;XM_013083956.1
rna14222;XM_013083955.1
rna14223;XM_005100900.2
rna14224;XM_005100901.2
rna14225;XM_005100902.2
rna14226;XM_005100903.2
rna14227;XM_005100904.1
rna14228;XM_013083946.1
rna14229;XM_005100905.2
rna14230;XM_005100906.2
rna14231;XM_013083957.1
rna14232;XM_005100907.2
rna14233;XM_005100916.2
rna14234;XM_005100917.2
rna14235;XM_005100908.2
rna14236;XM_005100909.2
rna14237;XM_005100910.2
rna14238;XM_013083959.1
rna14239;XM_013083960.1
rna14240;XM_005100918.2
rna14241;XM_013083969.1
rna14242;XM_013083968.1
rna14243;XM_005100919.2
rna14244;XM_005100940.2
rna14245;XM_013083970.1
rna14247;XM_005100923.2
rna14248;XM_013083964.1
rna14249;XM_013083965.1
rna14250;XM_013083971.1
rna14251;XM_013083973.1
rna14252;XM_013083972.1
rna14253;XM_005100927.2
rna14254;XM_005100926.2
rna14255;XM_005100928.2
rna14256;XM_013083974.1
rna14257;XM_013083975.1
rna14258;XM_013083961.1
rna14259;XM_013083976.1
rna14260;XM_005100930.2
rna14261;XM_013083977.1
rna14262;XM_005100932.2
rna14263;XM_013083962.1
rna14264;XM_005100935.2
rna14265;XM_013083963.1
rna14266;XM_005100934.2
rna14267;XM_005100933.2
rna14269;XM_013083979.1
rna14270;XM_005100936.2
rna14271;XM_005100938.2
rna14272;XM_005100939.2
rna14273;XM_013083966.1
rna14274;XM_013083967.1
rna14275;XM_005100974.2
rna14276;XM_005100948.1
rna14277;XM_005100950.2
rna14278;XM_005100949.2
rna14279;XM_013083982.1
rna14280;XM_005100952.2
rna14281;XM_005100954.2
rna14282;XM_005100953.2
rna14283;XM_005100956.2
rna14284;XM_013083980.1
rna14285;XM_013083981.1
rna14286;XM_005100957.2
rna14287;XM_005100958.2
rna14288;XM_013083983.1
rna14289;XM_013083984.1
rna14290;XM_005100960.2
rna14291;XM_005100961.2
rna14292;XM_005100962.2
rna14293;XM_005100964.2
rna14294;XM_013083986.1
rna14295;XM_013083985.1
rna14296;XM_005100978.2
rna14297;XM_005100966.2
rna14298;XM_013083987.1
rna14299;XM_005100969.2
rna14300;XM_005100968.2
rna14301;XM_013083990.1
rna14302;XM_005100970.2
rna14303;XM_013083989.1
rna14304;XM_005100971.2
rna14305;XM_005100972.2
rna14306;XM_013083991.1
rna14307;XM_013083995.1
rna14308;XM_005100981.2
rna14309;XM_013083996.1
rna14310;XM_005100982.2
rna14311;XM_005100983.2
rna14312;XM_005100984.2
rna14313;XM_005100985.2
rna14314;XM_005100986.2
rna14315;XM_005100988.2
rna14316;XM_005100989.2
rna14317;XM_013083997.1
rna14318;XM_013083998.1
rna14319;XM_005100991.2
rna14320;XM_005100990.2
rna14321;XM_005100995.2
rna14322;XM_013083999.1
rna14325;XM_005100996.2
rna14326;XM_005101002.2
rna14327;XM_013084000.1
rna14328;XM_005101003.2
rna14329;XM_013084001.1
rna14330;XM_005101006.1
rna14331;XM_013084003.1
rna14332;XM_013084004.1
rna14333;XM_013084002.1
rna14334;XM_013084006.1
rna14335;XM_013084005.1
rna14336;XM_013083994.1
rna14338;XM_005101009.2
rna14339;XM_005101010.2
rna14340;XM_005101011.2
rna14341;XM_013083992.1
rna14342;XM_005100997.2
rna14343;XM_013084015.1
rna14344;XM_005101012.2
rna14345;XM_005101013.2
rna14346;XM_013084016.1
rna14347;XM_005101014.2
rna14349;XM_005101024.2
rna14350;XM_005101015.2
rna14351;XM_013084017.1
rna14352;XM_013084014.1
rna14353;XM_005101026.1
rna14354;XM_005101027.1
rna14355;XM_005101028.1
rna14356;XM_013084013.1
rna14357;XM_005101016.2
rna14358;XM_005101030.2
rna14359;XM_005101017.2
rna14360;XM_013084018.1
rna14361;XM_005101019.2
rna14362;XM_005101021.2
rna14363;XM_005101020.2
rna14365;XM_013084019.1
rna14366;XM_013084020.1
rna14367;XM_013084022.1
rna14368;XM_013084021.1
rna14369;XM_013084023.1
rna14370;XM_013084010.1
rna14371;XM_013084009.1
rna14372;XM_005101022.2
rna14373;XM_013084012.1
rna14374;XM_005101023.2
rna14375;XM_013084011.1
rna14376;XM_013084008.1
rna14377;XM_013084028.1
rna14378;XM_013084029.1
rna14379;XM_013084024.1
rna14380;XM_005101036.2
rna14381;XM_013084025.1
rna14382;XM_013084030.1
rna14383;XM_013084026.1
rna14384;XM_013084031.1
rna14385;XM_005101038.2
rna14386;XM_005101037.2
rna14387;XM_013084032.1
rna14388;XM_005101039.2
rna14389;XM_005101041.2
rna14390;XM_005101040.2
rna14391;XM_005101042.1
rna14392;XM_013084033.1
rna14393;XM_005101045.2
rna14394;XM_005101043.2
rna14395;XM_005101044.2
rna14396;XM_013084027.1
rna14397;XM_005101047.2
rna14398;XM_005101049.2
rna14399;XM_005101048.2
rna14400;XM_013084034.1
rna14401;XM_005101086.2
rna14402;XM_005101052.2
rna14403;XM_005101055.2
rna14404;XM_005101056.2
rna14405;XM_005101057.1
rna14406;XM_005101058.2
rna14407;XM_005101060.2
rna14408;XM_005101059.2
rna14409;XM_013084036.1
rna14410;XM_013084038.1
rna14411;XM_005101064.2
rna14412;XM_013084037.1
rna14413;XM_013084039.1
rna14414;XM_013084035.1
rna14415;XM_005101065.2
rna14416;XM_005101066.1
rna14417;XM_005101067.2
rna14418;XM_013084050.1
rna14419;XM_013084046.1
rna14420;XM_013084041.1
rna14421;XM_013084044.1
rna14422;XM_013084049.1
rna14423;XM_013084043.1
rna14424;XM_013084048.1
rna14425;XM_013084042.1
rna14426;XM_013084047.1
rna14427;XM_013084040.1
rna14428;XM_005101078.2
rna14429;XM_013084051.1
rna14430;XM_005101075.2
rna14431;XM_005101073.2
rna14432;XM_005101074.2
rna14433;XM_013084053.1
rna14434;XM_005101072.2
rna14435;XM_005101071.2
rna14436;XM_013084052.1
rna14437;XM_013084063.1
rna14438;XM_013084056.1
rna14439;XM_013084064.1
rna14440;XM_013084057.1
rna14441;XM_005101087.1
rna14442;XM_013084065.1
rna14443;XM_013084058.1
rna14444;XM_013084062.1
rna14446;XM_005101095.2
rna14447;XM_005101096.2
rna14448;XM_005101097.2
rna14449;XM_005101098.2
rna14450;XM_013084066.1
rna14451;XM_013084070.1
rna14452;XM_013084068.1
rna14453;XM_013084069.1
rna14454;XM_013084067.1
rna14455;XM_013084059.1
rna14456;XM_005101102.2
rna14457;XM_013084072.1
rna14458;XM_013084071.1
rna14459;NM_001204589.1
rna14461;XM_013084055.1
rna14462;XM_005101122.2
rna14463;XM_013084060.1
rna14464;XM_005101123.1
rna14465;XM_005101103.2
rna14466;XM_005101124.2
rna14467;XM_013084074.1
rna14468;XM_005101104.2
rna14469;NM_001280826.1
rna14470;XM_005101106.2
rna14471;XM_005101107.2
rna14472;XM_005101108.2
rna14473;NM_001204667.1
rna14474;XM_013084075.1
rna14475;NM_001204687.1
rna14476;XM_005101111.2
rna14477;XM_005101112.2
rna14478;XM_005101113.2
rna14479;XM_005101115.2
rna14480;XM_005101116.2
rna14481;XM_013084076.1
rna14482;XM_005101118.2
rna14484;XM_013084061.1
rna14485;XM_005101125.2
rna14486;XM_013084083.1
rna14487;XM_005101126.2
rna14488;XM_013084084.1
rna14489;XM_005101127.2
rna14490;XM_013084085.1
rna14491;XM_013084078.1
rna14492;XM_013084082.1
rna14493;XM_013084089.1
rna14494;XM_013084087.1
rna14495;XM_013084088.1
rna14496;XM_005101165.2
rna14497;XM_005101131.2
rna14498;XM_005101132.2
rna14499;XM_005101137.2
rna14500;XM_013084093.1
rna14501;XM_013084092.1
rna14502;XM_013084091.1
rna14503;XM_005101133.2
rna14504;XM_013084090.1
rna14505;XM_005101140.2
rna14506;XM_013084097.1
rna14507;XM_013084096.1
rna14508;XM_013084094.1
rna14509;XM_005101143.2
rna14510;XM_013084095.1
rna14511;XM_013084098.1
rna14512;XM_005101145.2
rna14513;XM_005101144.2
rna14514;XM_005101146.2
rna14515;XM_005101147.1
rna14516;XM_005101149.2
rna14517;XM_005101150.2
rna14518;XM_005101154.2
rna14519;XM_005101152.2
rna14520;XM_005101153.2
rna14523;XM_013084079.1
rna14524;XM_013084080.1
rna14525;XM_013084100.1
rna14526;XM_013084101.1
rna14527;XM_013084102.1
rna14528;XM_005101160.2
rna14529;XM_005101158.2
rna14530;XM_005101159.2
rna14531;XM_005101169.2
rna14532;XM_005101161.2
rna14533;XM_005101170.2
rna14534;XM_013084104.1
rna14535;XM_013084108.1
rna14536;XM_013084107.1
rna14537;XM_013084109.1
rna14538;NM_001204653.1
rna14539;XM_013084111.1
rna14540;XM_005101183.1
rna14541;NM_001204498.1
rna14542;XM_005101184.2
rna14543;XM_013084112.1
rna14544;XM_013084105.1
rna14545;XM_005101173.2
rna14546;XM_013084106.1
rna14547;XM_005101174.2
rna14548;XM_005101176.2
rna14549;XM_013084114.1
rna14550;XM_013084113.1
rna14551;XM_005101175.2
rna14554;XM_005101178.2
rna14555;XM_013084115.1
rna14556;XM_005101179.2
rna14557;XM_013084119.1
rna14558;XM_013084123.1
rna14559;XM_013084122.1
rna14560;XM_013084121.1
rna14561;XM_013084120.1
rna14562;XM_005101190.2
rna14563;XM_005101191.2
rna14564;XM_013084117.1
rna14565;XM_013084124.1
rna14567;XM_005101192.2
rna14568;XM_005101203.2
rna14569;XM_005101194.2
rna14570;XM_013084118.1
rna14571;XM_005101196.2
rna14572;XM_005101197.2
rna14573;XM_013084125.1
rna14574;XM_013084126.1
rna14575;XM_013084127.1
rna14576;XM_005101198.2
rna14577;XM_005101199.2
rna14578;XM_005101200.2
rna14579;XM_005101206.2
rna14580;XM_013084129.1
rna14581;XM_005101221.2
rna14582;XM_005101208.2
rna14583;XM_013084132.1
rna14584;XM_013084130.1
rna14585;XM_013084131.1
rna14586;XM_005101222.1
rna14587;XM_013084133.1
rna14588;XM_013084134.1
rna14589;XM_013084136.1
rna14590;XM_005101215.2
rna14591;XM_013084137.1
rna14592;XM_013084135.1
rna14593;XM_013084138.1
rna14594;XM_005101216.2
rna14595;XM_013084139.1
rna14596;XM_013084140.1
rna14597;XM_013084141.1
rna14598;XM_013084142.1
rna14599;XM_005101218.2
rna14600;XM_005101217.2
rna14601;XM_013084143.1
rna14602;XM_013084144.1
rna14603;XM_005101219.2
rna14604;XM_013084145.1
rna14605;XM_013084151.1
rna14606;XM_013084152.1
rna14608;XM_013084150.1
rna14609;XM_013084149.1
rna14611;XM_005101224.2
rna14612;XM_013084153.1
rna14613;XM_013084146.1
rna14614;NM_001204532.1
rna14615;XM_005101232.2
rna14616;XM_013084147.1
rna14617;XM_013084154.1
rna14618;XM_005101234.2
rna14619;XM_013084155.1
rna14620;XM_005101225.2
rna14621;XM_005101226.2
rna14622;XM_005101227.2
rna14623;XM_005101228.2
rna14624;XM_005101229.2
rna14625;XM_013084156.1
rna14627;XM_013084148.1
rna14628;XM_013084157.1
rna14629;NM_001204660.1
rna14630;XM_013084158.1
rna14631;XM_013084159.1
rna14632;XM_005101238.2
rna14633;XM_013084160.1
rna14634;XM_013084164.1
rna14635;XM_005101239.2
rna14636;XM_005101240.2
rna14637;XM_005101241.2
rna14638;XM_013084169.1
rna14639;XM_005101243.2
rna14640;XM_005101246.2
rna14641;XM_013084170.1
rna14642;XM_013084171.1
rna14643;XM_005101245.2
rna14644;XM_013084172.1
rna14645;XM_013084173.1
rna14646;XM_005101244.2
rna14648;XM_013084165.1
rna14649;XM_005101248.2
rna14650;XM_013084167.1
rna14651;XM_005101263.1
rna14652;XM_013084174.1
rna14653;XM_005101249.2
rna14654;XM_013084168.1
rna14655;XM_005101254.2
rna14656;XM_005101253.2
rna14657;XM_005101251.2
rna14658;XM_005101252.2
rna14659;XM_005101255.2
rna14660;XM_013084175.1
rna14661;XM_005101256.2
rna14662;XM_013084177.1
rna14663;XM_013084178.1
rna14664;XM_013084180.1
rna14665;XM_013084179.1
rna14666;XM_005101259.2
rna14667;XM_005101258.2
rna14668;XM_005101257.2
rna14669;XM_005101260.2
rna14670;XM_013084161.1
rna14671;XM_005101261.1
rna14672;XM_013084181.1
rna14673;XM_013084182.1
rna14674;XM_013084162.1
rna14675;XM_013084163.1
rna14676;XM_013084184.1
rna14678;XM_013084193.1
rna14679;XM_005101269.2
rna14680;XM_005101270.2
rna14681;XM_005101271.2
rna14682;XM_013084185.1
rna14683;XM_005101272.2
rna14684;XM_005101273.2
rna14685;XM_005101274.2
rna14686;XM_005101275.2
rna14687;XM_005101276.2
rna14688;XM_013084194.1
rna14689;XM_005101278.2
rna14690;XM_005101277.2
rna14691;XM_005101279.2
rna14692;XM_005101280.2
rna14693;XM_005101282.2
rna14694;XM_005101281.2
rna14695;XM_005101283.2
rna14696;XM_005101284.2
rna14697;XM_005101285.2
rna14698;XM_013084186.1
rna14699;XM_013084187.1
rna14700;XM_005101289.2
rna14701;XM_005101290.2
rna14702;XM_013084195.1
rna14703;XM_005101293.2
rna14704;XM_013084196.1
rna14705;XM_013084188.1
rna14706;XM_013084189.1
rna14707;XM_013084190.1
rna14708;XM_005101291.2
rna14709;XM_013084191.1
rna14711;XM_013084198.1
rna14712;XM_013084197.1
rna14713;XM_005101298.2
rna14714;XM_013084199.1
rna14716;XM_013084201.1
rna14717;XM_013084202.1
rna14718;XM_013084203.1
rna14719;XM_013084204.1
rna14720;XM_005101301.2
rna14721;XM_005101302.2
rna14722;XM_005101304.2
rna14723;XM_005101303.2
rna14724;XM_013084205.1
rna14725;XM_013084206.1
rna14726;XM_005101305.2
rna14727;XM_013084200.1
rna14728;XM_005101306.2
rna14729;XM_005101307.2
rna14730;XM_005101308.2
rna14731;XM_013084207.1
rna14732;XM_013084208.1
rna14733;XM_005101309.2
rna14734;XM_005101317.2
rna14735;XM_005101322.2
rna14736;XM_005101318.2
rna14737;XM_005101321.2
rna14738;XM_005101323.2
rna14739;XM_005101325.2
rna14740;XM_013084211.1
rna14741;XM_013084210.1
rna14742;XM_013084209.1
rna14743;XM_005101329.2
rna14744;XM_005101327.2
rna14745;XM_013084212.1
rna14746;XM_013084215.1
rna14747;XM_005101335.2
rna14748;XM_013084214.1
rna14749;XM_013084213.1
rna14750;XM_005101331.2
rna14751;XM_013084216.1
rna14752;XM_005101338.2
rna14753;XM_013084220.1
rna14754;XM_013084217.1
rna14755;XM_013084221.1
rna14756;XM_013084222.1
rna14757;XM_005101345.2
rna14758;XM_005101346.2
rna14759;XM_005101347.2
rna14760;XM_005101348.2
rna14761;XM_013084223.1
rna14762;XM_005101349.2
rna14763;XM_013084225.1
rna14764;XM_013084219.1
rna14765;XM_013084226.1
rna14766;XM_005101359.1
rna14767;XM_013084218.1
rna14768;XM_005101350.2
rna14769;XM_005101351.2
rna14770;XM_005101352.2
rna14771;XM_013084227.1
rna14772;XM_013084229.1
rna14773;XM_013084230.1
rna14774;XM_013084232.1
rna14775;XM_013084228.1
rna14776;XM_013084231.1
rna14777;XM_005101353.2
rna14778;XM_005101354.2
rna14779;XM_005101362.2
rna14780;XM_013084240.1
rna14781;XM_013084242.1
rna14782;XM_005101365.2
rna14783;XM_005101366.2
rna14784;XM_013084243.1
